colony,depth,date,reef,score,mortality,C.SH,D.SH,tot.SH,propD,syms,dom,tdom,vis,days,year
123,10,2015-12-17,44,3,1,0.26474834171996,0,0.26474834171996,0,C,C,C,bleached,419,y2
123,10,2016-01-20,44,3,1,NA,NA,NA,NA,NA,NA,NA,NA,453,y2
123,10,2016-02-11,44,3,1,0.0302922710455918,0,0.0302922710455918,0,C,C,C,bleached,475,y2
123,10,2016-03-31,44,NA,NA,0.0686019574792313,0,0.0686019574792313,0,C,C,C,bleached,524,y2
124,10,2014-10-24,44,3,0,0.0271751817217466,NA,0.0271751817217466,0,C,C,C,not bleached,0,y1
124,10,2014-11-04,44,NA,No pic,NA,NA,NA,NA,NA,NA,NA,NA,11,y1
124,10,2014-11-24,44,3,0,0.0978837496233768,NA,0.0978837496233768,0,C,C,C,not bleached,31,y1
124,10,2014-12-16,44,3,0,0.109545126907953,NA,0.109545126907953,0,C,C,C,not bleached,53,y1
124,10,2015-01-14,44,3,0,0.037359725830138,NA,0.037359725830138,0,C,C,C,not bleached,82,y1
124,10,2015-05-06,44,3,0,0.110389153001359,NA,0.110389153001359,0,C,C,C,not bleached,194,y1
124,10,2015-08-11,44,3,0,0.0312932118974922,0,0.0312932118974922,0,C,C,C,not bleached,291,y2
124,10,2015-09-14,44,3,0,0.237038540389858,0,0.237038540389858,0,C,C,C,not bleached,325,y2
124,10,2015-10-01,44,3,0,0.0251193606173425,0,0.0251193606173425,0,C,C,C,not bleached,342,y2
124,10,2015-10-21,44,3,0,NA,NA,NA,NA,NA,NA,NA,NA,362,y2
124,10,2015-11-04,44,3,0,0.192168470281804,0,0.192168470281804,0,C,C,C,not bleached,376,y2
124,10,2015-12-04,44,NA,NA,0.0504813237734111,0,0.0504813237734111,0,C,C,C,not bleached,406,y2
124,10,2015-12-17,44,3,0,0.0315841280212886,0,0.0315841280212886,0,C,C,C,not bleached,419,y2
124,10,2016-01-20,44,3,0,0.0639502386357426,0,0.0639502386357426,0,C,C,C,not bleached,453,y2
124,10,2016-02-11,44,3,0,0.1307419071988,0,0.1307419071988,0,C,C,C,not bleached,475,y2
124,10,2016-03-31,44,NA,NA,0.0489649612438373,0,0.0489649612438373,0,C,C,C,not bleached,524,y2
125,7,2014-10-24,44,1,0,0.0015661205512494,NA,0.0015661205512494,0,C,C,C,bleached,0,y1
125,7,2014-11-04,44,2,0,0.0649658960880853,0.00101078632498385,0.0659766824130691,0.0153203569505887,CD,C,C,bleached,11,y1
125,7,2014-11-24,44,2,0,0.0381782516698564,0.000866877141289024,0.0390451288111455,0.0222019280684656,CD,C,C,bleached,31,y1
125,7,2014-12-16,44,2,0,0.133367527755553,0.0556767662703104,0.189044294025864,0.294517041930359,CD,C,C,bleached,53,y1
125,7,2015-01-14,44,2,0,0.0348983564218468,0.0453315088330576,0.0802298652549044,0.565020378496604,DC,D,C,bleached,82,y1
125,7,2015-05-06,44,3,0,0.025914911962734,NA,0.025914911962734,0,C,C,C,bleached,194,y1
125,7,2015-08-11,44,2,0,0.0169478203687033,0.00606534393740038,0.0230131643061036,0.263559754613654,CD,C,C,bleached,291,y2
125,7,2015-09-14,44,1,1,0.0253862929988389,0.0102325191111922,0.0356188121100311,0.287278505515081,CD,C,C,bleached,325,y2
125,7,2015-10-01,44,1,1,0.000592722133759007,0.000121855177507578,0.000714577311266584,0.170527633030484,CD,C,C,bleached,342,y2
125,7,2015-10-21,44,2,1,NA,NA,NA,NA,NA,NA,NA,NA,362,y2
125,7,2015-11-04,44,2,1,0.167089566167166,0.0210090563268985,0.188098622494064,0.111691707511369,CD,C,C,bleached,376,y2
125,7,2015-12-04,44,NA,NA,0.00814874473250091,0.0434471445047694,0.0515958892372703,0.842066008494827,DC,D,C,bleached,406,y2
125,7,2015-12-17,44,2,1,0.179181494659775,0.0156467319580317,0.194828226617807,0.0803103956221179,CD,C,C,bleached,419,y2
125,7,2016-01-20,44,2,1,0.0219359888461032,0.0315964256223019,0.0535324144684051,0.590229787616812,DC,D,C,bleached,453,y2
125,7,2016-02-11,44,2,1,0.00352464470692743,0.0363463718996213,0.0398710166065488,0.911598825239171,DC,D,C,bleached,475,y2
125,7,2016-03-31,44,NA,NA,0.0101755003935713,0.0216379130736113,0.0318134134671826,0.680150625645126,DC,D,C,bleached,524,y2
126,7,2014-10-24,44,3,0,1.34286964128009e-05,0.0406581919677596,0.0406716206641724,0.999669826375406,DC,D,D,not bleached,0,y1
126,7,2014-11-04,44,3,0,NA,0.0449836588644972,0.0449836588644972,1,D,D,D,not bleached,11,y1
126,7,2014-11-24,44,3,0,NA,0.136162591128949,0.136162591128949,1,D,D,D,not bleached,31,y1
126,7,2014-12-16,44,3,0,NA,0.406268908821611,0.406268908821611,1,D,D,D,not bleached,53,y1
126,7,2015-01-14,44,3,0,NA,NA,NA,NA,NA,NA,NA,NA,82,y1
126,7,2015-05-06,44,3,0,NA,0.616030519263336,0.616030519263336,1,D,D,D,not bleached,194,y1
126,7,2015-08-11,44,3,0,0,0.0620491463020152,0.0620491463020152,1,D,D,D,not bleached,291,y2
126,7,2015-09-14,44,3,0,0,0.336296383981617,0.336296383981617,1,D,D,D,not bleached,325,y2
126,7,2015-10-01,44,3,0,0,0.00611939682252855,0.00611939682252855,1,D,D,D,not bleached,342,y2
126,7,2015-10-21,44,3,0,0,0.456569113688657,0.456569113688657,1,D,D,D,not bleached,362,y2
126,7,2015-11-04,44,3,0,0,0.122563828344636,0.122563828344636,1,D,D,D,not bleached,376,y2
126,7,2015-12-04,44,NA,NA,0,0.094742475046927,0.094742475046927,1,D,D,D,not bleached,406,y2
126,7,2015-12-17,44,3,0,0,0.201577311601319,0.201577311601319,1,D,D,D,not bleached,419,y2
126,7,2016-01-20,44,3,0,0,0.296818963293764,0.296818963293764,1,D,D,D,not bleached,453,y2
126,7,2016-02-11,44,3,0,0,0.146188848683835,0.146188848683835,1,D,D,D,not bleached,475,y2
126,7,2016-03-31,44,NA,NA,0,0.036777192752347,0.036777192752347,1,D,D,D,not bleached,524,y2
127,10,2014-10-24,44,1,0,0.0574759771190326,NA,0.0574759771190326,0,C,C,C,bleached,0,y1
127,10,2014-11-04,44,NA,No pic,NA,NA,NA,NA,NA,NA,NA,NA,11,y1
127,10,2014-11-24,44,2,0,2.47962952583053,NA,2.47962952583053,0,C,C,C,bleached,31,y1
